Region,Division,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
South,East South Central,Alabama,6097,5564,5283,6115,7260,6916,8098,8448,8288,8842,10185,10835,10994,12390,13338,14201,14248,15293,15682,15578,17320,18423,17653,16471,17204,18398,22616,22833,23052,24329,28630,34518,36052,32676,28844,26894,24159,24379,22286,21421,21620,19582,19931,19331,19324,19678
West,Pacific,Alaska,236,208,225,272,375,377,409,437,486,624,840,1112,1204,1269,1527,1900,2063,1804,1781,1994,1919,2537,2732,2940,3108,3031,3046,2391,2682,2623,2885,3499,3877,4557,4644,4656,4417,4270,4015,3908,3554,3735,3627,3877,4159,4194
West,Mountain,Arizona,2704,2288,2610,3027,3368,3092,3272,3892,4402,5742,6564,7407,8731,9877,12202,12184,10335,11347,12996,14528,17673,16082,14785,14642,15756,19202,21835,20742,21147,21320,23911,25152,25706,28142,28653,30095,27963,28411,26984,26334,27281,28675,30171,28638,28952,30478
South,West South Central,Arkansas,1924,1809,1667,1991,2641,2662,3185,4320,4360,4390,4276,4680,4840,5905,6521,7369,6410,6924,7522,7984,7656,7119,7438,6930,7549,8199,9365,9839,10237,11397,12511,14072,13831,14381,14598,13741,13161,13293,12442,10848,11904,12190,11501,12449,13814,14659
West,Pacific,California,37558,38154,39846,42419,48026,52490,57718,67446,81293,89878,94741,104872,110667,116563,127658,138842,144041,154582,165626,184087,210290,208485,201429,194491,195589,201763,248370,253943,261912,284136,311051,331122,345624,336381,318395,305154,274996,257582,229883,207879,210531,212855,208388,205551,189175,190178
West,Mountain,Colorado,2408,2659,2990,2555,3119,3007,3340,3789,5387,6275,7874,8530,9555,10088,10728,11735,10770,13407,13296,14472,15215,15755,15354,14955,14548,15219,17105,15409,15548,15636,17328,18887,20086,20229,18632,16494,15463,14139,15008,13811,14367,15492,15882,15757,17121,18498
Northeast,New England,Connecticut,928,878,938,1192,1773,1973,2146,2804,3825,4415,5167,5968,6138,6421,7045,8308,8516,8774,9762,12902,12768,14033,12597,11767,12422,12758,13578,13455,14759,16576,18201,17761,16252,14949,14916,13293,13490,12781,11993,11342,11058,11492,10807,11045,10113,9635
South,South Atlantic,Delaware,375,318,338,424,541,561,655,948,1288,1588,1795,2060,2181,2016,2539,2270,1872,2224,2569,3127,2824,3044,3370,2746,2671,2695,2703,2774,2981,3745,4365,4857,4280,4801,4549,5198,4845,5753,5672,5534,5363,4868,4836,5525,5105,5332
South,South Atlantic,District of Columbia,4230,4491,4750,4740,5112,5804,7155,9252,12180,17038,16846,16084,12607,11626,11590,12704,10399,9843,9515,10553,12772,14468,13397,11933,10725,10171,9423,10016,11914,12937,14919,14671,16685,16888,15177,14744,13411,10708,8988,8448,8626,9931,9322,9061,7590,8032
South,South Atlantic,Florida,11061,11376,10489,12150,16539,17386,20069,23399,27913,29411,33824,38575,40252,46419,54821,57540,54597,58052,65792,73881,94095,98109,93411,88292,95270,106971,121013,123168,138343,140575,160990,157243,162827,164975,160016,151711,151350,149996,140016,129044,129777,130713,128721,124280,123754,125957
South,South Atlantic,Georgia,6262,6269,6200,7019,8285,8777,9066,8536,9903,11235,13976,15898,17823,19738,21587,22608,21030,22203,24545,28594,29993,30527,26963,26179,27935,30311,35869,35868,42589,47357,48996,48894,49496,50019,47103,47317,46966,45408,43762,41585,41319,41671,39271,39435,40217,40725
West,Pacific,Hawaii,138,161,256,215,575,491,598,591,662,684,938,1830,1258,1295,1762,1889,2034,2012,2423,2651,2889,2424,2542,2579,2409,2313,2604,2851,2810,3004,3113,2744,2998,3061,3091,3509,3322,3299,2946,2785,2954,3117,3262,3400,3213,3253
West,Mountain,Idaho,255,222,234,362,537,493,461,478,518,806,879,917,1085,1264,1465,1670,1884,2030,2076,2613,2957,2717,2501,2361,2355,2360,2232,2138,2345,2582,2776,3016,3003,3097,3238,3745,3177,3107,3468,3066,3267,3211,3419,3362,3452,3670
Midwest,East North Central,Illinois,36802,37156,38926,33627,36916,34345,39116,42956,44776,49543,52006,53436,57162,62457,69806,74699,70266,70910,76084,83540,91753,90781,88644,83629,83441,82448,93454,92216,93557,98611,110575,119955,113664,112260,112928,117836,105482,102476,97291,83621,81196,79504,75759,70376,69365,70392
Midwest,East North Central,Indiana,3945,4044,4191,4819,6564,6695,7196,8143,10229,10141,12184,13031,12968,13696,15631,17677,16721,16553,17383,18254,20633,18672,16444,15547,16781,17014,16937,18169,21187,22735,26275,28349,28791,27941,30205,30451,31366,30179,25423,22261,21230,22734,22001,21842,20294,20302
Midwest,West North Central,Iowa,656,643,559,629,1007,1067,1214,1608,1882,1918,2241,2822,2519,2970,3455,4039,3813,4145,4674,5259,5826,5915,5018,5262,5781,6106,6703,6553,7279,7563,8321,8477,7816,9159,8914,10071,7771,8841,8916,8034,7796,7865,8388,8175,8499,8642
Midwest,West North Central,Kansas,1272,1282,1477,1831,2573,2392,2517,3248,3463,3873,4561,4843,4737,4956,6272,6307,6529,7206,7471,8376,9168,8796,8088,7919,8147,8716,9076,8932,9083,10073,11093,12465,12888,12564,11314,10792,10642,11151,10972,10159,10470,10909,10229,10831,10330,10634
South,East South Central,Kentucky,2957,2907,2963,2849,3486,3463,4191,4484,5317,5745,7157,7717,7446,7356,7857,8967,8987,8077,7807,8748,9711,10599,11550,11967,10342,11384,12467,12589,12284,13302,14386,16262,20107,17530,16991,14079,12448,12386,12909,12212,11903,10448,11101,10232,10152,11134
South,West South Central,Louisiana,4990,4508,4570,5798,7140,7178,8689,10071,11742,13492,15063,15208,15712,16020,17794,18137,18161,20577,23197,27229,27926,27478,29185,28444,30251,31108,34128,30916,31711,34257,37914,40438,42209,45600,42369,43741,40426,37248,34057,32033,30440,30678,29690,28622,28844,26889
Northeast,New England,Maine,289,334,277,306,506,437,486,621,633,733,887,903,1143,1258,1440,2324,2354,2438,2266,2221,2173,2214,1847,1829,1832,1950,1726,1806,1898,1676,1759,1631,1616,1558,1611,1631,1553,1500,1566,1404,1397,1434,1396,1422,1364,1483
South,South Atlantic,Maryland,4691,4959,4915,5283,7446,10032,11236,17458,23405,24295,24512,24857,26412,26093,29439,29087,26249,28716,30328,33007,35735,37800,36254,34736,34455,36655,37177,34820,37466,40152,43940,46469,49085,49540,47457,49757,47230,43127,40903,38447,41663,42088,42015,38778,38961,39369
Northeast,New England,Massachusetts,2512,2777,3207,3454,4559,5270,6201,6919,8916,10272,11542,15317,17086,20475,22545,25793,23190,24593,26673,30650,34444,36273,33031,33264,30362,31334,32476,33060,36376,39912,44300,44138,46727,48393,42749,41739,39122,39411,38192,34023,30230,30587,31137,30377,29489,29237
Midwest,East North Central,Michigan,17034,16499,18106,18478,21153,24459,27806,33390,37292,44048,51090,51697,50425,52921,59993,62792,58814,53381,53040,56558,59014,59058,59806,64993,68979,66714,73517,71772,68980,65760,73468,75232,72672,75021,72751,65680,60951,57663,60947,56709,55159,55424,54306,51550,49737,55877
Midwest,West North Central,Minnesota,1435,1505,1674,1983,2601,3074,3691,4727,5111,5253,5782,5993,6798,6926,8119,8125,7492,7705,7601,8973,9250,9344,9062,7909,8802,10751,11991,12118,12490,12549,13392,14006,15144,15986,16397,16416,15782,15827,14656,13085,13813,13145,13428,13316,13751,15243
South,East South Central,Mississippi,2236,2274,2079,1779,4118,3949,3504,2672,3397,3354,3974,6151,7076,7734,7782,7411,6954,6896,7721,7786,8588,7706,7515,7255,7326,7079,7196,7081,8544,8156,8758,10085,10763,11467,13177,13560,13261,12808,11302,9671,10267,10006,9858,9336,8568,8131
Midwest,West North Central,Missouri,7468,7266,8059,8629,9553,10588,11149,12746,15216,18260,18986,18357,18223,19441,21612,23521,21470,22105,22738,25662,27177,26675,25078,23718,23071,25321,29310,27792,28393,32634,36602,39358,38448,38963,39240,35339,31669,31192,30222,27353,27419,30472,30557,28067,28226,30477
West,Mountain,Montana,453,457,390,414,564,514,507,588,610,682,774,971,1079,1207,1194,1418,1358,1659,1865,1762,1740,2004,1801,1737,1958,1722,1289,1223,989,935,1273,1130,1400,1489,1516,1491,1415,1161,1797,2090,2807,3187,3197,3351,2723,2634
Midwest,West North Central,Nebraska,590,586,637,591,776,852,941,1624,2103,2302,2731,2355,2638,2859,3697,3986,3269,3113,2982,3556,3512,2861,3641,3477,3627,3821,4196,4004,4374,4503,5209,5330,5598,6071,6322,6253,7182,7265,7507,7167,5606,5214,5428,5105,5393,5048
West,Mountain,Nevada,416,549,711,755,983,953,987,1100,1261,1642,1948,1887,2264,3135,3910,4018,4215,4703,5153,5866,7304,7575,7096,5838,5726,6244,6923,7006,8275,6947,7222,8693,9247,12157,14597,14461,13005,13395,11244,10311,10474,12359,13856,13813,14379,14654
Northeast,New England,New Hampshire,81,89,178,164,149,156,259,218,279,325,413,580,491,649,739,816,709,960,1035,1241,1653,1375,1187,1200,1308,1405,1433,1581,1622,1865,1459,1318,1397,1550,1328,1314,1373,1328,1270,1159,2167,2144,2056,1937,2202,1729
Northeast,Middle Atlantic,New Jersey,6932,6682,7874,8849,10456,10422,11168,13204,16711,17226,20583,26441,27577,28845,29568,30215,29107,28732,31027,36747,44373,46674,45175,41304,39659,41172,43623,41507,44993,47111,50057,49257,48745,49390,48544,47652,42459,39673,35720,33540,32298,33094,32252,31488,30943,30919
West,Mountain,New Mexico,1360,1278,1338,1376,1613,2047,2221,2325,2543,2881,3093,3994,4598,5219,5053,6134,6475,5961,6402,7272,7967,8913,9982,9608,9798,10207,10731,9427,9938,10755,11821,12922,14781,15024,14708,13804,14399,14762,16700,14520,13786,14288,13719,12535,13081,13541
Northeast,Middle Atlantic,New York,,,,,,58802,62561,75124,98515,105870,124613,145048,138542,135468,145427,155187,156988,149087,149257,161906,180235,188178,174833,161489,162157,165365,175210,179691,196396,203042,212458,210184,203311,195352,175433,152683,132206,124890,115915,107147,105111,98103,95030,89486,84914,85839
South,South Atlantic,North Carolina,10182,9275,9533,10038,12345,12755,14775,15995,18025,18117,18814,19952,22087,23086,26220,23791,22061,22492,23054,25009,26589,25986,26865,24911,24885,26327,30128,31039,32753,35902,41332,44355,46600,47178,46308,46508,43068,45071,43723,41474,40051,40465,39118,38243,38244,40650
Midwest,West North Central,North Dakota,90,160,128,182,229,223,231,185,173,220,211,238,290,389,319,337,462,438,437,403,352,444,414,365,368,322,348,382,392,417,472,415,530,522,522,556,541,559,570,424,523,505,496,508,558,625
Midwest,East North Central,Ohio,8120,7986,8366,9086,11582,12788,15626,19344,21228,26648,30279,32159,32286,31304,39094,43901,41553,43521,44357,49092,53646,53509,47126,42759,41430,41000,45260,45436,49144,51109,54904,61460,57935,55915,53930,53799,47896,48706,40628,35616,37935,40023,40128,38185,38787,40273
South,West South Central,Oklahoma,2258,2437,2478,2808,3609,3339,3552,3703,4473,4775,5194,6719,6289,6556,7588,8225,7926,8899,10165,11719,12589,13223,14103,13964,13438,13930,14423,13664,14179,15847,17222,18533,20005,20512,21225,21770,19710,18560,18053,17066,17177,17726,17587,17758,17635,18044
West,Pacific,Oregon,1232,1242,1461,1393,2009,2290,2470,3147,3955,4527,5373,6335,6494,6512,8326,10034,10654,10830,12278,13781,12802,12671,12529,12986,13533,14807,14830,14697,14959,14625,14405,14795,15189,15254,16067,16408,14837,14412,13778,12432,12000,10650,10298,10506,10724,10444
Northeast,Middle Atlantic,Pennsylvania,11203,11223,11856,12678,14162,16384,15169,16119,20710,22887,25970,31917,33052,32397,37281,38933,34985,33328,35381,39133,43032,44104,42767,40782,38154,39240,42629,44087,43534,45586,51213,53824,51276,50295,51425,51586,57905,53140,50470,50431,51584,50432,49578,49210,50998,52761
Northeast,New England,Rhode Island,316,372,402,500,578,722,849,1156,1254,1594,1944,2129,2424,2749,2651,2802,2779,2820,3255,3485,3864,4205,3849,3392,3220,3355,3271,3547,3947,3772,4334,4638,3965,4017,3744,3643,3437,3292,3084,2840,3121,3278,3051,3074,2673,2703
South,South Atlantic,South Carolina,3424,3318,3012,4075,4240,4504,5844,6015,5853,6449,7412,8188,10312,10757,12688,14412,17065,18297,18604,19889,20225,20275,23061,20133,20607,21121,22789,22773,25889,28576,34050,34621,34029,37281,37756,36067,36875,37235,34647,32920,33225,29265,33761,33455,33160,32384
Midwest,West North Central,South Dakota,282,245,279,278,408,415,568,586,563,510,616,644,756,869,1234,1402,1277,1303,1128,1096,873,718,684,840,1041,967,883,849,813,969,1133,1281,1383,1490,1641,1513,1297,1457,1139,1227,1259,1171,1350,1329,1319,1363
South,East South Central,Tennessee,3250,3910,3767,3777,4505,5333,6145,8111,8766,9235,10787,12520,12858,14771,15969,16627,16574,16743,16671,18135,20824,19019,19586,18836,21010,22592,25919,25900,26205,27118,32698,35955,37487,39047,38705,40549,41175,42389,38832,38111,40233,42778,41562,40409,41113,44891
South,West South Central,Texas,15428,15441,15516,17511,19769,21029,24382,26749,29646,36707,40897,43089,41285,45458,47008,47803,44422,52309,56650,67988,77978,78560,88178,80546,80737,90030,109925,105961,109499,111889,129343,145743,142369,137419,129838,124303,123270,117126,111566,112306,113653,122155,126018,122246,121554,121091
West,Mountain,Utah,484,451,554,598,888,886,1148,1194,1201,1460,1459,1689,2063,2412,2517,2795,2709,3043,3552,4158,4425,4527,4440,4144,4035,4398,4441,3861,4110,4417,4892,5077,5267,5599,5810,6415,6638,6878,6599,5869,5711,5314,5488,5889,5647,5612
Northeast,New England,Vermont,37,79,57,92,89,89,80,86,157,234,329,333,445,327,353,448,563,722,810,908,914,659,655,696,769,790,807,748,791,753,716,662,624,658,562,692,714,705,628,676,691,644,658,707,713,746
South,South Atlantic,Virginia,7286,7555,7720,8259,10561,10145,10399,10328,12821,12433,14040,15384,16483,16007,17514,18917,15485,14893,14743,15642,16355,17456,16970,16236,16660,16813,17708,17414,17940,19057,21694,23459,23907,24160,23437,23921,22782,23249,22115,21626,19943,20939,21256,20490,20608,21400
West,Pacific,Washington,1616,1687,1913,2034,2761,3081,3673,4754,6970,8243,7546,8155,8627,9309,12036,13851,14036,13714,15296,17064,19098,18839,17251,15986,17676,18757,19505,19945,21543,22460,24410,26224,27454,27040,27317,26300,23857,24724,24380,21716,21788,21258,20964,21272,21330,21745
South,South Atlantic,West Virginia,1200,1167,1146,1185,1359,1413,1613,1744,1959,1766,2158,2311,2299,2219,2460,2915,2761,2832,3120,3156,3547,3410,3405,3375,3283,3214,3156,2605,2476,2724,3036,3440,3833,3793,3931,3842,3836,3971,4503,6336,5723,5035,4221,4627,5110,4957
Midwest,East North Central,Wisconsin,1261,1268,1174,1312,1762,1911,1984,2948,3400,3411,3792,3957,4358,5273,6411,6992,6345,6117,6184,7839,8546,8904,9077,9070,9367,9880,12339,12014,10414,10834,12948,13723,13806,13321,13748,14399,13039,13988,13009,12908,12700,12486,12238,12104,11548,13371
West,Mountain,Wyoming,362,288,156,213,285,257,273,294,278,286,376,532,511,763,519,764,851,978,1189,1579,1841,2116,1527,1219,1237,1307,1486,1387,1479,1227,1367,1427,1489,1345,1297,1220,1201,1225,1191,1115,1316,1272,1364,1314,1163,1172
